instance,iterations,tenure_flip,tenure_swap,stall,diversify,seed,best_value,total_weight,elapsed_ms,grid_wallclock_ms
docs\inst_test\instancias\n_1000_1,300,10,7,20,0.3000,2026,9999887007,9999883468,68,2254
docs\inst_test\instancias\n_1000_1,300,10,7,10,0.3000,42,9999887034,9999883351,77,2254
docs\inst_test\instancias\n_1000_1,300,10,7,10,0.3000,123,9999416581,9999413709,75,2254
docs\inst_test\instancias\n_1000_1,300,10,7,5,0.3000,123,9999416581,9999413709,88,2254
docs\inst_test\instancias\n_1000_1,300,10,7,5,0.2000,123,9998886934,9998883463,90,2254
docs\inst_test\instancias\n_1000_1,300,10,7,5,0.3000,42,9999887034,9999883351,89,2254
docs\inst_test\instancias\n_1000_1,300,10,7,20,0.1000,42,9999297471,9999292890,77,2254
docs\inst_test\instancias\n_1000_1,300,10,7,20,0.1000,2026,9995297202,9995292594,77,2254
docs\inst_test\instancias\n_1000_1,300,10,7,20,0.3000,42,9999887034,9999883351,74,2254
docs\inst_test\instancias\n_1000_1,300,10,7,10,0.2000,2026,9999357281,9999353085,83,2254
docs\inst_test\instancias\n_1000_1,300,10,7,10,0.3000,2026,9999887007,9999883468,79,2254
docs\inst_test\instancias\n_1000_1,300,10,7,20,0.1000,123,9998827353,9998822863,79,2254
docs\inst_test\instancias\n_1000_1,300,10,7,10,0.1000,123,9999827379,9999822923,87,2254
docs\inst_test\instancias\n_1000_1,300,10,7,10,0.2000,123,9998886934,9998883463,84,2254
docs\inst_test\instancias\n_1000_1,300,10,7,10,0.2000,42,9998827387,9998822899,84,2254
docs\inst_test\instancias\n_1000_1,300,10,7,5,0.1000,123,9999827379,9999822923,98,2254
docs\inst_test\instancias\n_1000_1,300,10,7,20,0.2000,42,9998827387,9998822899,78,2254
docs\inst_test\instancias\n_1000_1,300,10,7,5,0.2000,2026,9999357281,9999353085,95,2254
docs\inst_test\instancias\n_1000_1,300,10,7,5,0.1000,42,9999297471,9999292890,100,2254
docs\inst_test\instancias\n_1000_1,300,10,7,5,0.1000,2026,9999827425,9999822843,100,2254
docs\inst_test\instancias\n_1000_1,300,10,7,5,0.2000,42,9999357290,9999353138,97,2254
docs\inst_test\instancias\n_1000_1,300,10,7,5,0.3000,2026,9999887007,9999883468,93,2254
docs\inst_test\instancias\n_1000_1,300,10,7,10,0.1000,42,9999297471,9999292890,93,2254
docs\inst_test\instancias\n_1000_1,300,10,7,10,0.1000,2026,9999827182,9999823283,93,2254
docs\inst_test\instancias\n_1000_1,300,10,10,5,0.2000,123,9998886934,9998883463,64,2254
docs\inst_test\instancias\n_1000_1,300,10,10,5,0.3000,123,9999416581,9999413709,62,2254
docs\inst_test\instancias\n_1000_1,300,10,10,10,0.3000,2026,9999887007,9999883468,59,2254
docs\inst_test\instancias\n_1000_1,300,10,10,10,0.2000,42,9998827387,9998822899,60,2254
docs\inst_test\instancias\n_1000_1,300,10,10,10,0.3000,123,9999416581,9999413709,60,2254
docs\inst_test\instancias\n_1000_1,300,10,10,5,0.3000,42,9999887034,9999883351,65,2254
