instance,population_size,generations,crossover_rate,mutation_rate,elite_size,tournament_size,stagnation,seed,threads,initial_value,best_value,total_weight,optimal_value,difference,gap_percent,stop_generation,elapsed_s
n_1000_1,80,500,0.8500,0.0100,5,3,100,12,16,9999826005,9999827112,9999821459,9999946233,119121,0.001191,500,0.7010
n_1000_1,80,500,0.8500,0.0100,5,3,100,202,16,9999826150,9999827140,9999821458,9999946233,119093,0.001191,480,0.6704
n_1000_1,80,500,0.8500,0.0100,5,5,50,4,16,9999826041,9999827084,9999821584,9999946233,119149,0.001191,265,0.3494
n_1000_1,80,500,0.8500,0.0100,5,5,50,12,16,9999826005,9999827103,9999821505,9999946233,119130,0.001191,274,0.3835
n_1000_1,80,500,0.8500,0.0100,5,5,50,202,16,9999826150,9999827159,9999821505,9999946233,119074,0.001191,277,0.3759
n_1000_1,80,500,0.8500,0.0100,5,5,100,4,16,9999826041,9999827156,9999821703,9999946233,119077,0.001191,430,0.5933
n_1000_1,80,500,0.8500,0.0100,5,5,100,12,16,9999826005,9999827177,9999821683,9999946233,119056,0.001191,500,0.6964
n_1000_1,80,500,0.8500,0.0100,5,5,100,202,16,9999826150,9999827202,9999821558,9999946233,119031,0.001190,500,0.7024
n_1000_1,80,500,0.9500,0.0050,3,3,50,4,16,9999826041,9999827031,9999821247,9999946233,119202,0.001192,286,0.4090
n_1000_1,80,500,0.9500,0.0050,3,3,50,12,16,9999826005,9999827040,9999821443,9999946233,119193,0.001192,393,0.5642
n_1000_1,80,500,0.9500,0.0050,3,3,50,202,16,9999826150,9999826979,9999821231,9999946233,119254,0.001193,216,0.3208
n_1000_1,80,500,0.9500,0.0050,3,3,100,4,16,9999826041,9999827031,9999821247,9999946233,119202,0.001192,336,0.4775
n_1000_1,80,500,0.9500,0.0050,3,3,100,12,16,9999826005,9999827062,9999821449,9999946233,119171,0.001192,500,0.6948
n_1000_1,80,500,0.9500,0.0050,3,3,100,202,16,9999826150,9999827029,9999821502,9999946233,119204,0.001192,425,0.5920
n_1000_1,80,500,0.9500,0.0050,3,5,50,4,16,9999826041,9999827130,9999821707,9999946233,119103,0.001191,272,0.3826
